Option,LossRate,CompletionTime,Throughput,DataRetrans,ACKRetrans,ACKEfficiency
1,0,0.4472081661224365,1241437.5274354958,7,1538,0.9872727272727273
1,0,0.2156531810760498,2574416.000866763,0,0,1.0
1,0,0.21472477912902832,2585546.9604017674,0,0,1.0
1,0,0.17797613143920898,3119412.6735451166,0,0,1.0
1,0,0.18262887001037598,3039941.056244052,0,0,1.0
1,0,0.24763822555541992,2512150.8436986385,1.4,307.6,0.9974545454545455
1,0,0.21619510650634766,2567962.8413962247,0,0,1.0
1,0,0.19199514389038086,2891640.844400623,0,0,1.0
1,0,0.2049088478088379,2709404.7228157544,0,0,1.0
1,0,0.17508673667907715,3170891.2424223856,0,0,1.0
1,0,0.2092149257659912,2653639.543007438,0,0,1.0
1,5,0.19948015213012696,2798707.8388084853,0.0,0.0,1.0
1,0,0.2406458854675293,2307045.4702410083,1,429,0.9981617647058824
1,0,0.21391677856445312,2595313.0171728157,0,0,1.0
1,0,0.19891595840454102,2791032.979218855,0,0,1.0
1,0,0.19717025756835938,2815744.1535395747,0,0,1.0
1,0,0.20204710960388184,2747779.9662090964,0,0,1.0
1,10,0.21053919792175294,2651383.1172762704,0.2,85.8,0.9996323529411765
1,0,0.19684696197509766,2820368.6479562423,0,0,1.0
1,0,0.18496274948120117,3001582.7595405974,0,0,1.0
1,0,0.18915510177612305,2935056.97063932,0,0,1.0
1,0,0.2141571044921875,2592400.5711435694,0,0,1.0
1,0,0.21867990493774414,2538783.799810294,0,0,1.0
1,15,0.2007603645324707,2777638.5498180045,0.0,0.0,1.0
1,0,0.19684696197509766,2820368.6479562423,0,0,1.0
1,0,0.21223998069763184,2615817.2375210486,0,0,1.0
1,0,0.21422600746154785,2591566.7596972384,0,0,1.0
1,0,0.1968848705291748,2819825.6092904415,0,0,1.0
1,0,0.19398903846740723,2861919.4382639197,0,0,1.0
1,20,0.20283737182617187,2741899.538545778,0.0,0.0,1.0
1,0,0.20509004592895508,2707010.9496797295,0,0,1.0
1,0,0.2128591537475586,2608208.2458075527,0,0,1.0
1,0,0.21502995491027832,2581877.488797551,0,0,1.0
1,0,0.21524500846862793,2579297.9077650383,0,0,1.0
1,0,0.21263575553894043,2610948.467217352,0,0,1.0
1,25,0.21217198371887208,2617468.6118534445,0.0,0.0,1.0
1,0,0.2060239315032959,2694740.3437503977,0,0,1.0
1,0,0.21245789527893066,2613134.236650122,0,0,1.0
1,0,0.2152080535888672,2579740.8170449613,0,0,1.0
1,0,0.21436309814453125,2589909.386482543,0,0,1.0
1,0,0.21828198432922363,2543411.9160408983,0,0,1.0
1,30,0.21326699256896972,2604187.3399937847,0.0,0.0,1.0
1,0,0.21274089813232422,2609658.062337779,0,0,1.0
1,0,0.22527480125427246,2464461.1687987037,0,0,1.0
1,0,0.2120370864868164,2618320.2627362967,0,0,1.0
1,0,0.2172091007232666,2555974.8562622317,0,0,1.0
1,0,0.20668697357177734,2686095.7437513554,0,0,1.0
1,35,0.2147897720336914,2586902.0187772727,0.0,0.0,1.0
1,0,0.2119300365447998,2619642.8267148463,0,0,1.0
1,0,0.21114110946655273,2629431.101326799,0,0,1.0
1,0,0.20570015907287598,2698981.870030101,0,0,1.0
1,0,0.2142040729522705,2591832.136281119,0,0,1.0
1,0,0.21553611755371094,2575814.2361530224,0,0,1.0
1,40,0.211702299118042,2623140.434101178,0.0,0.0,1.0
1,0,0.20673894882202148,2685420.445268623,0,0,1.0
1,0,0.20848369598388672,2662946.842821267,0,0,1.0
1,0,0.21261906623840332,2611153.410755235,0,0,1.0
1,0,0.21043682098388672,2638231.2629713723,0,0,1.0
1,0,0.2122659683227539,2615496.984216698,0,0,1.0
1,45,0.21010890007019042,2642649.789206639,0.0,0.0,1.0
1,0,0.20809602737426758,2667907.7299322425,0,0,1.0
1,0,0.2119290828704834,2619654.6150265215,0,0,1.0
1,0,0.21030402183532715,2639897.2076469343,0,0,1.0
